Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"St. John's, Newfoundland and Labrador",All ages,"1,439","1,429","1,484","1,507","1,546","1,586","1,625"
,-1 year 7,12,11,11,14,14,14,14
,0 to 4 years,2,3,0,2,1,2,1
,5 to 9 years,0,0,0,2,2,2,1
,10 to 14 years,0,3,0,3,2,1,1
,15 to 19 years,3,5,6,4,4,4,4
,20 to 24 years,5,7,5,6,7,6,5
,25 to 29 years,2,7,3,9,8,8,9
,30 to 34 years,6,6,15,15,16,16,15
,35 to 39 years,13,15,9,6,6,5,5
,40 to 44 years,26,16,19,14,14,14,13
,45 to 49 years,33,40,31,39,39,39,39
,50 to 54 years,48,52,51,47,47,48,47
,55 to 59 years,85,93,91,88,88,88,88
,60 to 64 years,98,92,89,99,100,102,101
,65 to 69 years,111,130,137,154,163,171,174
,70 to 74 years,149,144,146,146,155,162,179
,75 to 79 years,173,165,177,187,193,200,209
,80 to 84 years,225,223,233,222,229,233,240
,85 to 89 years,244,210,227,219,224,234,237
,90 years and over,204,207,234,231,234,237,243
"Halifax, Nova Scotia",All ages,"2,842","2,727","2,883","3,007","3,071","3,136","3,226"
,-1 year 7,16,20,20,12,12,12,12
,0 to 4 years,11,3,3,8,8,8,8
,5 to 9 years,1,1,2,4,5,5,5
,10 to 14 years,1,2,0,6,6,6,6
,15 to 19 years,15,14,7,12,12,12,12
,20 to 24 years,17,11,16,12,11,12,11
,25 to 29 years,10,13,13,11,11,11,11
,30 to 34 years,20,14,20,15,14,17,16
,35 to 39 years,23,18,19,19,18,20,20
,40 to 44 years,39,32,29,33,33,33,33
,45 to 49 years,64,65,76,68,64,61,61
,50 to 54 years,127,102,104,114,113,111,108
,55 to 59 years,173,147,141,147,148,151,155
,60 to 64 years,170,181,231,192,194,197,200
,65 to 69 years,241,215,228,297,313,328,335
,70 to 74 years,272,261,287,286,297,312,330
,75 to 79 years,337,350,333,352,364,373,386
,80 to 84 years,416,429,429,429,432,443,450
,85 to 89 years,456,409,444,455,466,474,485
,90 years and over,433,440,481,535,550,550,582
"Moncton, New Brunswick",All ages,999,960,"1,017","1,045","1,071","1,096","1,128"
,-1 year 7,8,7,6,6,5,5,5
,0 to 4 years,1,1,1,1,1,1,1
,5 to 9 years,2,0,1,0,0,0,0
,10 to 14 years,1,1,0,1,1,1,1
,15 to 19 years,4,3,4,2,2,2,2
,20 to 24 years,3,7,5,4,4,3,4
,25 to 29 years,8,8,2,6,6,6,6
,30 to 34 years,7,7,6,9,8,8,9
,35 to 39 years,6,7,15,8,8,8,8
,40 to 44 years,13,10,13,12,11,11,11
,45 to 49 years,29,19,24,20,18,18,17
,50 to 54 years,26,29,27,42,42,42,42
,55 to 59 years,52,38,35,45,47,46,46
,60 to 64 years,63,56,54,68,68,68,69
,65 to 69 years,76,77,81,96,102,109,113
,70 to 74 years,77,84,99,102,105,108,115
,75 to 79 years,110,116,104,124,129,135,140
,80 to 84 years,148,133,134,148,151,153,156
,85 to 89 years,170,174,211,147,148,149,151
,90 years and over,195,183,195,204,215,223,232
"Saint John, New Brunswick",All ages,"1,104","1,116","1,050","1,105","1,134","1,161","1,194"
,-1 year 7,2,4,4,3,3,3,3
,0 to 4 years,2,0,1,1,1,1,1
,5 to 9 years,0,0,0,0,0,0,0
,10 to 14 years,2,0,2,1,1,1,1
,15 to 19 years,2,3,4,3,3,3,3
,20 to 24 years,5,3,4,5,5,5,5
,25 to 29 years,6,7,4,6,6,6,7
,30 to 34 years,4,3,6,10,10,10,10
,35 to 39 years,10,7,7,4,5,4,3
,40 to 44 years,13,13,20,10,8,9,9
,45 to 49 years,24,27,29,17,16,16,15
,50 to 54 years,41,44,45,33,34,33,32
,55 to 59 years,46,59,55,42,41,42,42
,60 to 64 years,77,82,79,76,77,77,79
,65 to 69 years,93,99,82,99,105,111,117
,70 to 74 years,113,97,99,117,123,128,133
,75 to 79 years,114,120,119,106,109,113,116
,80 to 84 years,176,177,158,189,192,194,199
,85 to 89 years,187,183,156,169,168,170,173
,90 years and over,187,188,176,214,227,235,246
"Saguenay, Quebec",All ages,"1,238","1,290","1,420","1,391","1,519","1,372","1,394"
,-1 year 7,19,6,10,13,8,4,7
,0 to 4 years,2,0,2,3,2,2,0
,5 to 9 years,0,0,1,1,0,4,0
,10 to 14 years,1,2,2,0,3,1,0
,15 to 19 years,6,2,1,4,2,1,3
,20 to 24 years,4,5,9,6,1,3,3
,25 to 29 years,5,6,2,6,6,10,6
,30 to 34 years,7,11,7,4,3,7,8
,35 to 39 years,7,9,7,7,8,13,9
,40 to 44 years,7,14,13,9,17,13,16
,45 to 49 years,26,23,32,17,20,20,16
,50 to 54 years,38,38,43,45,51,39,48
,55 to 59 years,52,71,56,74,79,73,56
,60 to 64 years,99,77,88,83,88,100,101
,65 to 69 years,117,123,119,124,126,111,106
,70 to 74 years,141,126,144,139,152,133,158
,75 to 79 years,157,189,182,174,187,173,178
,80 to 84 years,215,228,239,245,261,210,227
,85 to 89 years,180,199,235,261,267,245,241
,90 years and over,155,161,228,176,238,210,211
"Quebec, Quebec",All ages,"5,520","5,565","5,769","5,765","6,050","5,829","6,154"
,-1 year 7,32,29,38,49,43,30,36
,0 to 4 years,8,7,7,7,4,8,5
,5 to 9 years,2,3,3,2,0,5,0
,10 to 14 years,3,3,1,3,4,4,4
,15 to 19 years,8,12,10,6,9,11,0
,20 to 24 years,27,13,18,19,32,17,10
,25 to 29 years,27,26,18,19,29,18,23
,30 to 34 years,19,27,32,29,24,25,19
,35 to 39 years,35,30,45,42,36,27,26
,40 to 44 years,59,49,30,51,51,57,43
,45 to 49 years,100,103,92,86,87,83,69
,50 to 54 years,174,185,177,161,149,155,148
,55 to 59 years,253,277,242,256,268,246,264
,60 to 64 years,358,372,367,364,324,335,326
,65 to 69 years,438,460,458,458,500,490,531
,70 to 74 years,516,526,534,567,600,588,638
,75 to 79 years,718,718,707,681,743,682,773
,80 to 84 years,940,868,960,"1,003",975,926,949
,85 to 89 years,898,934,"1,000",946,"1,023","1,025","1,026"
,90 years and over,905,923,"1,030","1,016","1,149","1,097","1,264"
"Sherbrooke, Quebec",All ages,"1,547","1,515","1,538","1,608","1,745","1,555","1,700"
,-1 year 7,3,10,8,8,7,4,13
,0 to 4 years,2,2,2,3,3,1,3
,5 to 9 years,1,1,3,2,2,1,1
,10 to 14 years,0,2,1,1,1,0,0
,15 to 19 years,5,3,2,3,7,2,1
,20 to 24 years,3,6,5,3,2,4,2
,25 to 29 years,11,6,2,5,5,10,5
,30 to 34 years,9,10,4,9,3,5,13
,35 to 39 years,9,14,14,8,12,5,9
,40 to 44 years,13,10,13,21,11,6,19
,45 to 49 years,25,27,17,27,21,26,19
,50 to 54 years,41,45,46,41,52,55,36
,55 to 59 years,59,73,76,83,78,72,64
,60 to 64 years,100,118,104,102,104,88,94
,65 to 69 years,123,132,133,136,154,141,137
,70 to 74 years,125,140,133,156,141,158,192
,75 to 79 years,202,172,177,174,211,170,182
,80 to 84 years,255,234,232,216,265,213,246
,85 to 89 years,279,237,274,287,286,256,271
,90 years and over,282,273,292,323,380,338,393
"Trois-Rivieres, Quebec",All ages,"1,435","1,313","1,426","1,391","1,546","1,556","1,563"
,-1 year 7,2,2,6,4,13,8,5
,0 to 4 years,0,2,1,1,3,1,8
,5 to 9 years,1,0,1,1,0,0,0
,10 to 14 years,0,0,0,1,1,5,0
,15 to 19 years,6,2,1,1,9,1,5
,20 to 24 years,2,3,2,10,5,6,9
,25 to 29 years,4,6,9,8,2,11,6
,30 to 34 years,10,7,10,8,10,6,8
,35 to 39 years,8,5,10,4,13,14,12
,40 to 44 years,17,19,10,9,13,8,16
,45 to 49 years,24,29,36,19,24,21,22
,50 to 54 years,42,50,44,35,34,45,33
,55 to 59 years,58,55,73,69,75,68,70
,60 to 64 years,76,80,89,78,95,97,99
,65 to 69 years,121,107,121,121,116,125,131
,70 to 74 years,129,130,148,155,159,171,148
,75 to 79 years,185,166,173,171,182,164,166
,80 to 84 years,254,194,245,206,277,239,243
,85 to 89 years,243,233,221,246,259,261,287
,90 years and over,253,223,226,244,256,305,295
"Montreal, Quebec",All ages,"26,888","26,081","27,279","26,760","28,472","27,843","28,353"
,-1 year 7,194,187,205,181,185,189,164
,0 to 4 years,49,37,48,38,39,36,46
,5 to 9 years,13,14,8,15,20,9,17
,10 to 14 years,23,25,21,18,9,13,22
,15 to 19 years,54,49,48,47,43,42,43
,20 to 24 years,89,79,92,88,91,100,63
,25 to 29 years,90,96,93,87,90,90,73
,30 to 34 years,125,123,150,131,149,137,120
,35 to 39 years,173,160,169,161,163,170,176
,40 to 44 years,290,272,275,246,240,220,222
,45 to 49 years,578,555,505,487,497,437,465
,50 to 54 years,908,896,877,847,882,808,829
,55 to 59 years,"1,269","1,240","1,232","1,206","1,326","1,263","1,275"
,60 to 64 years,"1,682","1,643","1,627","1,647","1,692","1,656","1,692"
,65 to 69 years,"2,062","2,047","2,186","2,184","2,318","2,218","2,194"
,70 to 74 years,"2,608","2,516","2,517","2,524","2,779","2,744","2,809"
,75 to 79 years,"3,587","3,237","3,424","3,245","3,350","3,292","3,327"
,80 to 84 years,"4,520","4,487","4,675","4,510","4,654","4,478","4,470"
,85 to 89 years,"4,424","4,376","4,699","4,578","4,882","4,783","4,922"
,90 years and over,"4,150","4,042","4,428","4,520","5,063","5,158","5,424"
"Ottawa-Gatineau, Ontario/Quebec",All ages,"7,388","7,355","7,907","7,824","8,148","8,277","8,648"
,-1 year 7,56,53,58,46,37,39,35
,0 to 4 years,17,8,13,12,10,11,11
,5 to 9 years,5,5,9,3,2,5,2
,10 to 14 years,5,5,5,8,6,5,5
,15 to 19 years,22,23,21,22,18,18,16
,20 to 24 years,27,44,36,34,31,32,34
,25 to 29 years,39,46,36,28,35,30,32
,30 to 34 years,47,50,38,43,53,44,50
,35 to 39 years,57,55,63,52,47,47,55
,40 to 44 years,107,87,67,80,76,71,69
,45 to 49 years,195,172,168,165,156,161,149
,50 to 54 years,287,294,311,260,285,258,282
,55 to 59 years,410,387,445,423,441,434,452
,60 to 64 years,482,493,530,533,522,517,534
,65 to 69 years,542,578,586,638,690,734,741
,70 to 74 years,666,619,726,715,782,793,820
,75 to 79 years,893,863,879,933,942,974,"1,028"
,80 to 84 years,"1,121","1,140","1,213","1,148","1,200","1,193","1,225"
,85 to 89 years,"1,324","1,159","1,280","1,293","1,348","1,331","1,410"
,90 years and over,"1,086","1,274","1,423","1,388","1,467","1,580","1,698"
"Kingston, Ontario",All ages,"1,353","1,368","1,440","1,396","1,446","1,495","1,547"
,-1 year 7,8,11,6,9,9,9,10
,0 to 4 years,0,2,2,0,0,0,0
,5 to 9 years,0,0,2,0,0,0,0
,10 to 14 years,3,0,1,4,4,3,4
,15 to 19 years,4,3,4,0,0,0,0
,20 to 24 years,0,11,8,5,5,5,5
,25 to 29 years,3,8,6,7,7,7,7
,30 to 34 years,8,6,11,10,10,11,11
,35 to 39 years,11,13,7,6,6,6,6
,40 to 44 years,18,17,7,16,16,16,16
,45 to 49 years,31,25,24,35,34,33,32
,50 to 54 years,52,51,62,45,46,45,45
,55 to 59 years,73,60,70,62,62,65,67
,60 to 64 years,92,97,109,102,104,109,111
,65 to 69 years,100,119,101,108,116,119,124
,70 to 74 years,128,106,145,152,156,164,172
,75 to 79 years,191,186,152,175,179,186,190
,80 to 84 years,207,212,223,211,215,216,219
,85 to 89 years,218,216,262,205,212,218,226
,90 years and over,206,225,238,244,265,283,302
"Peterborough, Ontario",All ages,"1,140","1,155","1,163","1,248","1,292","1,337","1,384"
,-1 year 7,3,5,7,3,3,4,4
,0 to 4 years,3,0,1,2,2,2,2
,5 to 9 years,1,0,1,1,1,1,1
,10 to 14 years,0,0,1,0,0,0,0
,15 to 19 years,2,0,4,2,2,2,2
,20 to 24 years,3,1,9,7,7,7,7
,25 to 29 years,2,4,4,5,4,5,5
,30 to 34 years,6,6,2,5,5,5,5
,35 to 39 years,4,7,6,7,7,7,7
,40 to 44 years,15,8,7,8,8,8,8
,45 to 49 years,22,23,22,21,21,21,21
,50 to 54 years,46,25,26,29,29,30,29
,55 to 59 years,44,49,58,50,52,54,54
,60 to 64 years,75,64,70,88,89,91,96
,65 to 69 years,65,82,82,108,113,117,124
,70 to 74 years,89,109,98,107,109,114,119
,75 to 79 years,159,143,140,132,136,140,142
,80 to 84 years,199,174,189,185,188,189,192
,85 to 89 years,204,231,220,231,238,244,251
,90 years and over,198,224,216,257,278,296,315
"Oshawa, Ontario",All ages,"2,140","2,249","2,334","2,456","2,543","2,635","2,716"
,-1 year 7,20,14,19,18,19,19,20
,0 to 4 years,8,4,2,1,1,1,1
,5 to 9 years,0,2,3,1,2,1,2
,10 to 14 years,2,1,5,2,3,2,2
,15 to 19 years,10,13,9,5,5,4,5
,20 to 24 years,11,7,7,7,7,7,7
,25 to 29 years,7,11,8,10,10,10,10
,30 to 34 years,18,10,10,10,10,10,12
,35 to 39 years,12,16,18,19,20,19,20
,40 to 44 years,26,37,30,34,34,33,34
,45 to 49 years,46,63,59,58,55,53,52
,50 to 54 years,99,97,97,93,95,96,95
,55 to 59 years,126,122,139,127,130,132,136
,60 to 64 years,157,160,166,172,177,182,187
,65 to 69 years,178,171,198,219,228,242,250
,70 to 74 years,203,198,218,223,231,242,253
,75 to 79 years,284,311,282,282,290,298,309
,80 to 84 years,362,362,385,391,395,404,408
,85 to 89 years,295,361,344,398,409,424,438
,90 years and over,276,289,335,386,422,456,475
"Toronto, Ontario",All ages,"28,905","28,727","30,359","31,520","32,628","33,756","34,927"
,-1 year 7,293,295,283,280,283,284,290
,0 to 4 years,62,59,63,61,61,61,59
,5 to 9 years,24,19,21,24,24,25,24
,10 to 14 years,32,32,29,28,27,28,28
,15 to 19 years,91,81,95,106,103,103,102
,20 to 24 years,128,149,154,154,157,157,159
,25 to 29 years,138,157,150,160,162,164,171
,30 to 34 years,148,173,168,203,207,210,214
,35 to 39 years,247,234,226,245,246,246,252
,40 to 44 years,389,425,429,421,411,402,397
,45 to 49 years,717,694,737,668,647,626,616
,50 to 54 years,"1,060","1,066","1,056","1,097","1,118","1,125","1,116"
,55 to 59 years,"1,327","1,366","1,401","1,447","1,486","1,521","1,570"
,60 to 64 years,"1,665","1,786","1,800","1,785","1,827","1,882","1,943"
,65 to 69 years,"1,896","1,966","2,200","2,321","2,443","2,569","2,675"
,70 to 74 years,"2,503","2,500","2,599","2,603","2,713","2,810","2,945"
,75 to 79 years,"3,661","3,448","3,508","3,663","3,767","3,859","3,969"
,80 to 84 years,"4,900","4,554","4,867","4,978","5,066","5,138","5,195"
,85 to 89 years,"5,072","4,998","5,243","5,548","5,687","5,873","6,065"
,90 years and over,"4,552","4,725","5,330","5,728","6,193","6,673","7,137"
"Hamilton, Ontario",All ages,"5,503","5,760","6,049","6,284","6,510","6,725","6,945"
,-1 year 7,20,35,25,36,36,36,38
,0 to 4 years,11,10,7,7,8,7,7
,5 to 9 years,2,3,4,3,3,3,3
,10 to 14 years,8,4,8,5,3,4,5
,15 to 19 years,15,23,9,5,5,5,5
,20 to 24 years,18,22,20,25,26,26,27
,25 to 29 years,21,21,23,25,27,27,27
,30 to 34 years,29,22,32,27,28,29,28
,35 to 39 years,33,32,41,39,39,39,40
,40 to 44 years,48,62,56,65,65,64,64
,45 to 49 years,122,118,98,109,106,102,99
,50 to 54 years,175,196,203,210,211,213,212
,55 to 59 years,239,246,270,290,293,302,311
,60 to 64 years,344,362,352,347,357,367,375
,65 to 69 years,418,415,416,473,498,524,547
,70 to 74 years,471,510,495,576,600,623,652
,75 to 79 years,742,752,723,729,750,765,788
,80 to 84 years,900,953,"1,031","1,020","1,035","1,050","1,061"
,85 to 89 years,"1,001","1,080","1,131","1,096","1,125","1,159","1,198"
,90 years and over,886,894,"1,105","1,197","1,295","1,380","1,458"
"St. Catharines-Niagara, Ontario",All ages,"3,810","3,785","4,043","4,064","4,202","4,350","4,500"
,-1 year 7,12,10,7,13,13,14,14
,0 to 4 years,1,4,3,1,1,1,1
,5 to 9 years,3,2,1,1,1,1,1
,10 to 14 years,0,2,4,0,0,0,0
,15 to 19 years,13,9,11,8,8,8,7
,20 to 24 years,12,18,12,13,13,13,14
,25 to 29 years,11,14,18,16,16,16,16
,30 to 34 years,16,16,14,18,18,18,18
,35 to 39 years,37,21,26,23,23,23,25
,40 to 44 years,35,42,47,34,34,34,34
,45 to 49 years,66,80,62,61,58,57,56
,50 to 54 years,136,122,148,141,141,143,142
,55 to 59 years,176,162,192,184,191,194,199
,60 to 64 years,232,238,256,238,242,250,259
,65 to 69 years,291,274,349,312,327,346,357
,70 to 74 years,339,346,364,389,404,418,441
,75 to 79 years,461,469,462,494,508,521,535
,80 to 84 years,654,614,633,678,689,698,705
,85 to 89 years,725,682,734,713,732,754,780
,90 years and over,590,660,700,727,783,841,896
"Kitchener-Cambridge-Waterloo, Ontario",All ages,"2,889","2,998","3,192","3,329","3,434","3,558","3,682"
,-1 year 7,16,17,24,23,23,23,23
,0 to 4 years,14,5,3,8,8,8,9
,5 to 9 years,2,1,3,0,0,0,0
